Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
5ο ΓΥΜΝΑΣΙΟ ΛΑΡΙΣΑΣ - ΝΙΚΗΦΟΡΟΣ ΘΕΟΤΟΚΗΣ,ΛΑΡΙΣΑΙΩΝ,ΙΟΥΣΤΙΝΙΑΝΟΥ ΚΑΙ  ΒΟΥΤΣΙΛΑ,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ4 εώς και  29/10/2020 και το Β4 έως και 3/11/2020
9ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΛΑΣΓΩΝ 42,05-11-2020,Αναστέλλει τη λειτουργία τους το Α2 
11ο ΓΥΜΝΑΣΙΟ ΙΛΙΟΥ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΠΕΤΡΟΥΠΟΛΕΩΣ ΚΑΙ ΑΕΤΟΜΗΛΙΤΣΗΣ,06-11-2020,"Αναστέλλουν τη λειτουργία τους τα Γ1, Γ2, & Γ5"
1ο ΕΠΑΛ ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ,ΣΤΑΔΙΟΥ 121,06-11-2020,
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΙΤΟΧΩΡΟΥ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΔΙΟΥ 29,02-11-2020,"Αναστέλλει τη λειτουργία του το τμήμα Γ1 εώς 29/10/2020 και τα Γ2, Γ3, Γ2 ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ έως και 2/11/2020"
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΕΙΜΑΡΡΟΥ,ΗΡΑΚΛΕΙΑΣ,ΧΕΙΜΑΡΡΟΣ ΣΕΡΡΩΝ,08-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΠΑΠΑΝΙΚΟΛΗ 14,06-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 & Κατεύθυνσης Γ Ανθρωπιστικών Σπουδών 2 έως και 27-10-2020 και το τμήμα Α3 έως και 31-10-2020 και τα Β3 & ΒΘΕΤΙΚ3 έως και 6/11/2020
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΕΙΚΟΣΤΗΣ ΟΓΔΟΗΣ ΟΚΤΩΒΡΙΟΥ 113-117 & ΣΚΟΥΦΑ,06-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ4 & ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΣ Γ ΘΕΤΙΚΩΝ 1 έως και 3/11/2020 και το Α2 έως και 6/11/2020
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,Ν. ΚΑΖΑΝΤΖΑΚΗ 1,07-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ5 & Γ ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ ΥΓΕΙΑΣ 2
1ο ΕΠΑΛ ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ,ΤΑΚΗ ΤΕΡΖΟΠΟΥΛΟΥ 150,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3 εώς και 2/11/2020 και τα Γ ΘΕΡ &Γ ΟΔ έως και 3/11/2020
ΙΕΚ ΜΕΤΑΜΟΡΦΩΣΗΣ,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,"1ο Γυμνάσιο Μεταμόρφωσης, Κορίνθου & Χείρωνος",04-11-2020,Αναστέλλουν τη λειτουργία τους : Γ ΕΞΑΜΗΝΟΥ-ΕΙΔΙΚΟΤΗΤΑΣ ΤΕΧΝΙΚΟΣ ΑΙΣΘΗΤΙΚΟΣ ΠΟΔΟΛΟΓΙΑΣ-ΚΑΛΛΩΠΙΣΜΟΥ ΝΥΧΙΩΝ ΚΑΙ ΟΝΥΧΟΠΛΑΣΤΙΚΗΣ
1o ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΟΥΖΑΚΙΟΥ,ΜΟΥΖΑΚΙΟΥ,ΑΓΙΑΣ ΣΩΤΗΡΙΑΣ & ΑΡΓΙΘΕΑΣ,06-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
3ο ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΝΕΑ ΑΜΙΣΟΣ,08-11-2020,Αναστέλλει τη λειτουργία του το Α1
4ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΑΘΗΝΑΣ 30,05-11-2020,Αναστέλλει τη λειτουργία του το Α5
5ο ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΠΕΡΙΟΧΗ ΚΑΠΝΟΛΟΓΙΚΟΥ ΙΝΣΤΙΤΟΥΤΟΥ,08-11-2020,Αναστέλλει τη λειτουργία του το Β2
3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΩΡΑΣ ΝΑΞΟΥ,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΣ,06-11-2020,Αναστέλλει τη λειτουργία του το Ε2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΠΙΣΚΟΠΗΣ ΓΩΝΙΑΣ ΘΗΡΑΣ,ΘΗΡΑΣ,ΚΑΜΑΡΙ,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Α1 & ΟΛΟΗΜΕΡΟ
162ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΖΗΝΟΔΩΡΟΥ 23  ΚΑΙ  ΙΦΙΓΕΝΕΙΑΣ,05-11-2020,Αναστέλλει τη λειτουργία του το Τμήμα Ένταξης
1ο ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΜΑΚΡΗΣ,ΜΑΡΑΘΩΝΟΣ,ΡΟΥΜΕΛΗΣ,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Β1 και Β5
ΙΕΚ ΕΥΟΣΜΟΥ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,"ΤΕΡΜΑ ΣΜΥΡΝΗΣ, ΕΥΟΣΜΟΣ",07-11-2020,Αναστέλλουν τη λειτουργία τους τα Α ΕΞΑΜΗΝΟΥ-ΒΟΗΘΩΝ ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ,ΗΡΑΚΛΕΙΟΥ,ΣΟΦΙΑΣ ΚΑΙ ΝΕΟΤΗΤΟΣ,05-11-2020,Αναστέλλει τη λειτουργία του το Δ2
10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΛΙΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΕΩΣ,ΜΥΚΟΝΟΥ 34,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ2 & ΟΛΟΗΜΕΡΟ 2
ΠΡΟΤΥΠΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΙΩΝΙΔΕΙΟΥ ΣΧΟΛΗΣ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΣΩΤΗΡΟΣ ΔΙΟΣ 17,06-11-2020,Αναστέλλουν τη λειτουργία τους το Α4 έως και 3/11/2020 και τα Γ2 & Γ ΟΙΚΟΝΟΜΙΑΣ έως και 6/11/2020
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΝΙΚΟΥ ΜΑΤΣΟΥΚΑ 1,07-11-2020,Αναστέλλει τη λειτουργία του το Γ5
ΜΕΙΟΝΟΤΙΚΟ ΓΥΜΝΑΣΙΟ -ΛΥΚΕΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΧΑΤΖΗΣΤΑΥΡΟΥ 10,08-11-2020,Αναστέλλει τη λειτουργία του το Γ5
3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,ΚΟΜΝΗΝΩΝ & ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ 1,04-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 & Γ Οικ2 εώς και 30-10-2020 και ΓΟΙΚ1 έως και 4/11/2020
5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΑΥΡΟΥ,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,ΠΕΙΡΑΙΩΣ ΚΑΙ ΛΑΜΠΡΑΚΗ 1,06-11-2020,Αναστέλλει τη λειτουργία της η Δ
53ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΓΡΑΜΜΟΥ 23,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ1 & Γ ΟΙΚ1
65ο ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΜΗΛΙΑΡΑΚΗ 71,03-11-2020,Αναστέλλει τη λειτουργία του το Γ5
4ο ΓΥΜΝΑΣΙΟ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΣΥΝΤΑΓΜΑΤΑΡΧΗ ΔΗΜΗΤΡΙΑΔΗ 3,06-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Α1 & Α4 εώς και 5/11/2020 και το Γ1 έως και 6/11/2020
14ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΜΙΝΩΟΣ,08-11-2020,"Αναστέλλουν τη λειτουργία τους: Γ, Δ, Γ ΟΛΟΗΜΕΡΟ & Δ ΟΛΟΗΜΕΡΟ"
1ο ΓΥΜΝΑΣΙΟ ΒΟΥΛΑΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΞΕΝΟΦΩΝΤΟΣ ΚΑΙ ΠΕΡΙΚΛΕΟΥΣ,04-11-2020,Αναστέλλει τη λειτουργία του το Α1
ΓΥΜΝΑΣΙΟ ΑΝΑΒΥΣΣΟΥ,ΣΑΡΩΝΙΚΟΥ,ΚΑΝΑΡΗ 14,06-11-2020,Αναστέλλει τη λειτουργία του το Β4
BYRON COLLEGE (ΓΥΜΝΑΣΙΟ),ΓΕΡΑΚΑΣ,ΦΙΛΟΛΑΟΥ 7,06-11-2020,Αναστέλλει τη λειτουργία του: 7
IIEK LE MONDE,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 45, ΜΟΣΧΑΤΟ",02-11-2020,Αναστέλλουν τη λειτουργία τους τα TEMA42-ΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΟΣ ΜΑΓΕΙΡΙΚΗΣ ΤΕΧΝΗΣ ΑΡΧΙΜΑΓΕΙΡΑΣ CHEF
ΙΙΕΚ ΔΕΛΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,Ερμού 45 (Πλατεία Αριστοτέλους),04-11-2020,Αναστέλλουν τη λειτουργία τους τα 3Ν-ΣΤΠΟ1-ΕΙΔΙΚΟΤΗΤΑΣ ΣΤΕΛΕΧΟΣ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΛΕΓΧΟΥ ΤΡΟΦΙΜΩΝ ΚΑΙ ΠΟΤΩΝ
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΙΚΑΙΑΣ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ Ι. ΡΕΝΤΗ,ΑΚΡΟΠΟΛΕΩΣ 53,02-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ5 & ΓΟΙΚ2
9ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΓΡΑΜΜΟΥ-ΑΡΙΣΤΑΡΧΟΥ,06-11-2020,
12ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΤΟΛΕΜΑΪΔΑΣ,ΕΟΡΔΑΙΑΣ,ΟΙΚΙΣΜΟΣ ΚΑΡΔΙΑΣ,06-11-2020,
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ,Ν.ΤΡΥΠΙΑ 47,01-11-2020,Αναστέλλει τη λειτουργία του το Α3
7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΑΦΝΗΣ,ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ,ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ ΚΑΙ ΑΡΙΣΤΟΤΕΛΟΥΣ 9,05-11-2020,Αναστέλλει τη λειτουργία του το Β1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΙΓΡΙΤΑΣ,ΒΙΣΑΛΤΙΑΣ,ΑΓΓ. ΜΗΤΤΑ 1,08-11-2020,Αναστέλλει τη λειτουργία του η Δ τάξη
2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΛΥΚΩΝ ΝΕΡΩΝ,ΠΑΙΑΝΙΑΣ,ΝΙΚΟΠΟΛΕΩΣ ΚΑΙ ΜΕΣΟΛΟΓΓΙΟΥ,03-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ2 & Γ3
ΓΥΜΝΑΣΙΟ ΑΝΟΙΞΗ,ΔΙΟΝΥΣΟΥ,ΚΑΝΑΡΗ 2-4,07-11-2020,Αναστέλλει τη λειτουργία του το Γ1
4ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΕΧΙΝΟΥ ΚΑΙ ΧΑΛΚΙΔΟΣ,05-11-2020,Αναστέλλουν τη λειτουργία τους τα ΓΠ2 & Γ4
2ο ΓΥΜΝΑΣΙΟ ΑΧΑΡΝΩΝ - Ε.ΔΑΜΑΣΚΟΣ,ΑΧΑΡΝΩΝ,ΣΟΥΡΛΑΤΖΗ 8,06-11-2020,Αναστέλλουν τη λειτουργία τους το τμήμα Β1 εώς και 3/11/2020 και τα Β3 & Γ3 έως και 6/11/2020
7ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΛΙΟΣΙΩΝ 44,06-11-2020,
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΝΟΙΞΗΣ,ΔΙΟΝΥΣΟΥ,ΠΡΟΦΗΤΗ ΗΛΙΑ 16,06-11-2020,
5ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ,ΟΓΔΟΗΣ ΜΕΡΑΡΧΙΑΣ 3,06-11-2020,
"2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΙΩΑΝΝΙΝΩΝ ""ΓΕΩΡΓΙΟΥ ΣΤΑΥΡΟΥ""",ΙΩΑΝΝΙΤΩΝ,Γ.ΠΑΠΑΝΔΡΕΟΥ 4-6,04-11-2020,Αναστέλλει τη λειτουργία του το Α5
ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΠΕΡΑΜΟΥ ΑΤΤΙΚΗΣ,ΜΕΓΑΡΕΩΝ,ΦΑΝΕΡΩΜΕΝΗΣ 1,05-11-2020,Αναστέλλει τη λειτουργία του το Γ4
41ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΒΑΡΒΑΚΗ 23,05-11-2020,Αναστέλλει τη λειτουργία του το Β2
1ο ΕΠΑΛ ΚΟΡΩΠΙΟΥ,ΚΡΩΠΙΑΣ,ΚΟΛΟΚΟΤΡΩΝΗ 101,04-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ2 & ΓΜΨ
22ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΟΛΟΦΥΤΟΥ  55 ΚΑΙ ΛΑΡΝΕΩΣ 2,05-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ1 & Γ ΥΓΕΙΑΣ 
20ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΖΥΜΠΡΑΚΑΚΗ 46 -48,01-11-2020,Αναστέλλουν τη λειτουργία τους τα Γ1 & Γ ΟΙΚ-ΠΛΗΡΟΦ 1
20ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΛΙΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΕΩΣ,ΑΓΑΜΕΜΝΟΝΟΣ 1,05-11-2020,Αναστέλλει τη λειτουργία του η Β τάξη
11ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΣΚΑΜΑΝΔΡΟΥ 73,05-11-2020,Αναστέλλει τη λειτουργία του το Γ1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΟΙΞΗΣ,ΔΙΟΝΥΣΟΥ,ΚΑΝΑΡΗ 1,06-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΣΟΥΛΙΟΥ-ΜΑΡΑΘΩΝΑ,ΜΑΡΑΘΩΝΟΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΠΕΝΑΚΗ 13,05-11-2020,Αναστέλλει τη λειτουργία της η Δ τάξη
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΡΑΓΑΙΑΣ,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΧΑΛΚΙ ΝΑΞΟΣ,06-11-2020,Αναστέλλουν τη λειτουργία τους τα Β2 & Β ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ 
ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΛΓΑΣ ΝΤΟΤΗ-ΟΙΚΟΝΟΜΟΥ,ΙΩΑΝΝΙΤΩΝ,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ 2,06-11-2020,Αναστέλλει τη λειτουργία της η Γ τάξη
4ο ΓΥΜΝΑΣΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΗΠΕΙΡΟΥ-ΑΝΘ. ΓΑΖΗ 38,04-11-2020,Αναστέλλει τη λειτουργία του το Γ5
ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΒΕΛΕΣΤΙΝΟΥ ΜΑΓΝΗΣΙΑΣ - ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΕΛΕΣΤΙΝΟΥ,ΡΗΓΑ ΦΕΡΡΑΙΟΥ,ΒΕΛΕΣΤΙΝΟ,05-11-2020,
4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΡΙΛΗΣΣΙΩΝ,ΒΡΙΛΗΣΣΙΩΝ,ΤΕΙΡΕΣΙΟΥ 2 ΚΑΙ ΣΠΑΡΤΗΣ,03-11-2020,Αναστέλλει τη λειτουργία της η ΣΤ
9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΝΑΥΠΑΚΤΙΑΣ,29-10-2020,Αναστέλλει τη λειτουργία του το Β2
7ο ΕΠΑΛ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΔΡΟΣΗ - ΠΑΙΩΝΙΟΥ,06-11-2020,"Αναστέλλουν τη λειτουργία τους τα ΒΥΓ10, ΒΥΓ6 & Β3"
17ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΜΙΑΣ,ΛΑΜΙΕΩΝ,ΣΙΦΝΟΥ ΚΑΙ ΑΙΓΙΝΗΣ,06-11-2020,Αναστέλλει τη λειτουργία του το Γ2
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,ΕΛΛΗΣ ΚΑΙ ΑΘ. ΔΙΑΚΟΥ,03-11-2020,Αναστέλλουν τη λειτουργία τους τα Α1 και Β2
ΠΡΟΤΥΠΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΝΑΒΡΥΤΩΝ,ΑΜΑΡΟΥΣΙΟΥ,"ΛΕΩΦΟΡΟΣ ΚΗΦΙΣΙΑΣ 184,",06-11-2020,Αναστέλλει τη λειτουργία του το Γ5
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ,ΑΛΣΟΥΣ-ΑΓ ΝΙΚΟΛΑΟΥ,30-10-2020,Αναστέλλουν τη λειτουργία τους τα Γ5 & ΓΟΠ2
2ο ΓΥΜΝΑΣΙΟ ΝΑΞΟΥ,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ,04-11-2020,Αναστέλλει τη λειτουργία του το Α3
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΕΛΙΤΣΩΝ,ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ,ΒΕΛΙΤΣΕΣ,04-11-2020,"Αναστέλλουν τη λειτουργία τους οι Α, Ε & ΣΤ"
3ο ΓΥΜΝΑΣΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΡΗΓΑ ΦΕΡΡΑΙΟΥ  47  ΚΑΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,04-11-2020,Αναστέλλει τη λειτουργία του το Β2
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΥΚΗΣ,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,Λ. ΕΙΡΗΝΗΣ 34,05-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β1 και ΒΘ1 εώς και 2/11/2020 και το Β2 έως και 5/11/2020
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΚΑΣ,ΠΕΛΛΑΣ,ΛΑΚΚΑ,05-11-2020,
5ο ΓΥΜΝΑΣΙΟ ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΟΡΥΖΟΜΥΛΩΝ 17,06-11-2020,Αναστέλλει τη λειτουργία του το Γ1
1ο ΕΠΑΛ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΒΑΘΥΚΛΕΟΥΣ 1,05-11-2020,
18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΑΝΤΩΝΙΟΥ ΦΑΣΟΥΛΑ 16,04-11-2020,Αναστέλλει τη λειτουργία του το Δ2
ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΛΑΡΙΣΑ - ΠΡΩΤΟ ΙΔ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ Μ ΡΑΠΤΟΥ,ΛΑΡΙΣΑΙΩΝ,ΚΑΡΔΙΤΣΑΣ 21,05-11-2020,
3ο ΓΥΜΝΑΣΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΒΑΛΑΩΡΙΤΟΥ 33,03-11-2020,Αναστέλλει τη λειτουργία του το Β1
11ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΙΛΙΟΥ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΠΑΛΑΤΙΑΝΗΣ 2-6,06-11-2020,Αναστέλλει τη λειτουργία του το Α1
5ο ΓΥΜΝΑΣΙΟ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ,ΗΡΑΚΛΕΙΟΥ,ΠΛΑΠΟΥΤΑ 67-69,04-11-2020,Αναστέλλει τη λειτουργία του το Γ1
12ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΙΛΙΟΥ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΑΡΓΥΡΟΚΑΣΤΡΟΥ 51,06-11-2020,Αναστέλλει τη λειτουργία του το ΣΤ3
34ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΑΛΜΠΕΡΤ ΣΒΑΪΤΣΕΡ 61,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2 εώς και 1/11/ 2020 και το Ε1 έως και 3/11/2020
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΟΜΟΤΗΝΗΣ ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ & Μ.ΑΝΔΡΟΝΙΚΟΥ Ν.ΜΟΣΥΝΟΥΠΟΛΗ,05-11-2020,
ΕΕΕΕΚ ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΥΦΑΝΤΕΣ Τ.Θ. 1023,03-11-2020,
1ο 12/Θ ΠΕΙΡΑΜΑΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ (ΕΝΤΑΓΜΕΝΟ ΣΤΟ ΠΑΝΕΠΙΣΤΗΜΙΟ) ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΓΕΩΡΓΙΟΥ ΖΑΡΙΦΗ 5,07-11-2020,
7ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΑΡΓΟΝΑΥΤΩΝ 1Α,03-11-2020,Αναστέλλει τη λειτουργία του το Α1
