Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
2ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΛΑΜΠΑΚΙΟΥ,ΔΟΞΑΤΟΥ,Α. ΠΑΠΑΝΔΡΕΟΥ 52,01-11-2020,
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΙΚΤΙΝΟΥ 5,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 & Γ Υγείας
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΠΟΤΑΜΙΑΣ,ΝΕΣΤΟΡΙΟΥ,ΔΙΠΟΤΑΜΙΑ,29-10-2020,
1ο ΙΔΙΩΤΙΚΟ ΛΥΚΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΑΝΑΤΟΛΙΑ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΚΕΝΕΝΤΥ 60,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΙΒ2
10ο ΓΥΜΝΑΣΙΟ ΙΩΑΝΝΙΝΩΝ << ΘΕΟΔΩΡΟΣ ΠΑΠΑΓΙΑΝΝΗΣ >>,ΙΩΑΝΝΙΤΩΝ,ΔΗΜΟΥΛΙΤΣΑ ΠΑΤΑΤΟΥΚΟΥ 2,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
2ο ΓΥΜΝΑΣΙΟ ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,"ΦΙΛΙΠΠΟΥ Β 29, ΚΟΖΑΝΗ",30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΟΛΙΧΝΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 129,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
1ο ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΣΤΡΑΤΟΠΕΔΟ ΣΤΡΕΜΠΕΝΙΩΤΗ,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α4
2ο ΕΠΑΛ ΛΟΥΤΡΑΚΙΟΥ,ΛΟΥΤΡΑΚΙΟΥ-ΑΓ.ΘΕΟΔΩΡΩΝ,ΠΑΛ. ΕΘΝ. ΟΔΟΣ ΕΠΙΔΑΥΡΟΥ,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΒΠ
1ο ΠΡΟΤΥΠΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΘΗΝΩΝ - ΓΕΝΝΑΔΕΙΟ,ΑΘΗΝΑΙΩΝ,ΗΠΙΤΟΥ 15,29-10-2020,
40ο ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,ΑΘΗΝΑΙΩΝ,ΣΚΙΑΘΟΥ ΚΑΙ ΖΩΤΟΥ,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,Κ. ΜΑΥΡΟΜΙΧΑΛΗ 14,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
